NAME , MOBILE NO, ADDRESS , EMAIL ID , SOURCE OF LEAD , DISTRICT NAME ,ASSEMBLY NAME , WARD OR ZP NAME , POLLING BOOTH NO , CAMPAIGN /GROUP NAME, VOTER ID , NOTEPAD
Demo1,917411033926,DWD1,a@gmail.com1,source1,,,,,,voter1,response1
Demo2,917411033927,DWD2,a@gmail.com2,source2,,,,,,voter2,response2
Demo3,917411033928,DWD3,a@gmail.com3,source3,,,,,,voter3,response3
Demo4,917411033929,DWD4,a@gmail.com4,source4,,,,,,voter4,response4
Demo5,917411033930,DWD5,a@gmail.com5,source5,,,,,,voter5,response5
Demo6,917411033931,DWD6,a@gmail.com6,source6,,,,,,voter6,response6
Demo7,917411033932,DWD7,a@gmail.com7,source7,,,,,,voter7,response7
Demo8,917411033933,DWD8,a@gmail.com8,source8,,,,,,voter8,response8
Demo9,917411033934,DWD9,a@gmail.com9,source9,,,,,,voter9,response9
Demo10,917411033935,DWD10,a@gmail.com10,source10,,,,,,voter10,response10
Demo11,917411033936,DWD11,a@gmail.com11,source11,,,,,,voter11,response11
Demo12,917411033937,DWD12,a@gmail.com12,source12,,,,,,voter12,response12
Demo13,917411033938,DWD13,a@gmail.com13,source13,,,,,,voter13,response13
Demo14,917411033939,DWD14,a@gmail.com14,source14,,,,,,voter14,response14
Demo15,917411033940,DWD15,a@gmail.com15,source15,,,,,,voter15,response15
Demo16,917411033941,DWD16,a@gmail.com16,source16,,,,,,voter16,response16
Demo17,917411033942,DWD17,a@gmail.com17,source17,,,,,,voter17,response17
Demo18,917411033943,DWD18,a@gmail.com18,source18,,,,,,voter18,response18
Demo19,917411033944,DWD19,a@gmail.com19,source19,,,,,,voter19,response19
Demo20,917411033945,DWD20,a@gmail.com20,source20,,,,,,voter20,response20
Demo21,917411033946,DWD21,a@gmail.com21,source21,,,,,,voter21,response21
Demo22,917411033947,DWD22,a@gmail.com22,source22,,,,,,voter22,response22
Demo23,917411033948,DWD23,a@gmail.com23,source23,,,,,,voter23,response23
Demo24,917411033949,DWD24,a@gmail.com24,source24,,,,,,voter24,response24
Demo25,917411033950,DWD25,a@gmail.com25,source25,,,,,,voter25,response25
Demo26,917411033951,DWD26,a@gmail.com26,source26,,,,,,voter26,response26
Demo27,917411033952,DWD27,a@gmail.com27,source27,,,,,,voter27,response27
Demo28,917411033953,DWD28,a@gmail.com28,source28,,,,,,voter28,response28
Demo29,917411033954,DWD29,a@gmail.com29,source29,,,,,,voter29,response29
Demo30,917411033955,DWD30,a@gmail.com30,source30,,,,,,voter30,response30
Demo31,917411033956,DWD31,a@gmail.com31,source31,,,,,,voter31,response31
Demo32,917411033957,DWD32,a@gmail.com32,source32,,,,,,voter32,response32
Demo33,917411033958,DWD33,a@gmail.com33,source33,,,,,,voter33,response33
Demo34,917411033959,DWD34,a@gmail.com34,source34,,,,,,voter34,response34
Demo35,917411033960,DWD35,a@gmail.com35,source35,,,,,,voter35,response35
Demo36,917411033961,DWD36,a@gmail.com36,source36,,,,,,voter36,response36
Demo37,917411033962,DWD37,a@gmail.com37,source37,,,,,,voter37,response37
Demo38,917411033963,DWD38,a@gmail.com38,source38,,,,,,voter38,response38
Demo39,917411033964,DWD39,a@gmail.com39,source39,,,,,,voter39,response39
Demo40,917411033965,DWD40,a@gmail.com40,source40,,,,,,voter40,response40
Demo41,917411033966,DWD41,a@gmail.com41,source41,,,,,,voter41,response41
Demo42,917411033967,DWD42,a@gmail.com42,source42,,,,,,voter42,response42
Demo43,917411033968,DWD43,a@gmail.com43,source43,,,,,,voter43,response43
Demo44,917411033969,DWD44,a@gmail.com44,source44,,,,,,voter44,response44
Demo45,917411033970,DWD45,a@gmail.com45,source45,,,,,,voter45,response45
Demo46,917411033971,DWD46,a@gmail.com46,source46,,,,,,voter46,response46
Demo47,917411033972,DWD47,a@gmail.com47,source47,,,,,,voter47,response47
Demo48,917411033973,DWD48,a@gmail.com48,source48,,,,,,voter48,response48
Demo49,917411033974,DWD49,a@gmail.com49,source49,,,,,,voter49,response49
Demo50,917411033975,DWD50,a@gmail.com50,source50,,,,,,voter50,response50
Demo51,917411033976,DWD51,a@gmail.com51,source51,,,,,,voter51,response51
Demo52,917411033977,DWD52,a@gmail.com52,source52,,,,,,voter52,response52
Demo53,917411033978,DWD53,a@gmail.com53,source53,,,,,,voter53,response53
Demo54,917411033979,DWD54,a@gmail.com54,source54,,,,,,voter54,response54
Demo55,917411033980,DWD55,a@gmail.com55,source55,,,,,,voter55,response55
Demo56,917411033981,DWD56,a@gmail.com56,source56,,,,,,voter56,response56
Demo57,917411033982,DWD57,a@gmail.com57,source57,,,,,,voter57,response57
Demo58,917411033983,DWD58,a@gmail.com58,source58,,,,,,voter58,response58
Demo59,917411033984,DWD59,a@gmail.com59,source59,,,,,,voter59,response59
Demo60,917411033985,DWD60,a@gmail.com60,source60,,,,,,voter60,response60
Demo61,917411033986,DWD61,a@gmail.com61,source61,,,,,,voter61,response61
Demo62,917411033987,DWD62,a@gmail.com62,source62,,,,,,voter62,response62
Demo63,917411033988,DWD63,a@gmail.com63,source63,,,,,,voter63,response63
Demo64,917411033989,DWD64,a@gmail.com64,source64,,,,,,voter64,response64
Demo65,917411033990,DWD65,a@gmail.com65,source65,,,,,,voter65,response65
